patron_id,preferred_species,preferred_age_min,preferred_age_max,preferred_weight_min,preferred_weight_max,preferred_sex,activity_level,temperament_preference,size_preference,bonded_pair_ok,first_time_owner,has_children,living_situation,pet_id,match
P009,Cat,1,2,8,10,No_Preference,Low,Shy,Small,Yes,Yes,No,Apartment,SEQ-A-5969,0
P010,Dog,1,3,70,80,Female,High,Active,Large,No,No,Yes,House_Large_Yard,SEQ-A-6061,1
P010,Dog,1,3,70,80,Female,High,Active,Large,No,No,Yes,House_Large_Yard,SEQ-A-61627,1
P010,Dog,1,3,70,80,Female,High,Active,Large,No,No,Yes,House_Large_Yard,SEQ-A-61717,0
P010,Dog,1,3,70,80,Female,High,Active,Large,No,No,Yes,House_Large_Yard,SEQ-A-61696,0
P011,Cat,4,6,10,12,Male,Low,No_Preference,Small,No,No,No,Apartment,SEQ-A-61602,1
P011,Cat,4,6,10,12,Male,Low,No_Preference,Small,No,No,No,Apartment,SEQ-A-61717,0
P011,Cat,4,6,10,12,Male,Low,No_Preference,Small,No,No,No,Apartment,SEQ-A-5969,0
P011,Cat,4,6,10,12,Male,Low,No_Preference,Small,No,No,No,Apartment,SEQ-A-61625,0
P012,Dog,1,2,60,70,Female,High,Active,Large,No,Yes,No,House_Small_Yard,SEQ-A-61627,1
P012,Dog,1,2,60,70,Female,High,Active,Large,No,Yes,No,House_Small_Yard,SEQ-A-6061,1
P012,Dog,1,2,60,70,Female,High,Active,Large,No,Yes,No,House_Small_Yard,SEQ-A-61717,0
P012,Dog,1,2,60,70,Female,High,Active,Large,No,Yes,No,House_Small_Yard,SEQ-A-61663,0
P013,Cat,1,2,9,11,Female,Low,No_Preference,Small,No,Yes,No,Apartment,SEQ-A-61712,1
P013,Cat,1,2,9,11,Female,Low,No_Preference,Small,No,Yes,No,Apartment,SEQ-A-6029,1
P013,Cat,1,2,9,11,Female,Low,No_Preference,Small,No,Yes,No,Apartment,SEQ-A-5969,0
P013,Cat,1,2,9,11,Female,Low,No_Preference,Small,No,Yes,No,Apartment,SEQ-A-61625,0
P014,Dog,4,6,75,85,Female,Medium,Shy,Large,No,No,No,House_Small_Yard,SEQ-A-61696,1
P014,Dog,4,6,75,85,Female,Medium,Shy,Large,No,No,No,House_Small_Yard,SEQ-A-61717,0
P014,Dog,4,6,75,85,Female,Medium,Shy,Large,No,No,No,House_Small_Yard,SEQ-A-61663,0
P014,Dog,4,6,75,85,Female,Medium,Shy,Large,No,No,No,House_Small_Yard,SEQ-A-61627,0
P015,Cat,1,3,7,9,Male,Low,No_Preference,Small,No,Yes,Yes,Apartment,SEQ-A-61701,1
P015,Cat,1,3,7,9,Male,Low,No_Preference,Small,No,Yes,Yes,Apartment,SEQ-A-61711,0
P015,Cat,1,3,7,9,Male,Low,No_Preference,Small,No,Yes,Yes,Apartment,SEQ-A-5969,0
P015,Cat,1,3,7,9,Male,Low,No_Preference,Small,No,Yes,Yes,Apartment,SEQ-A-61625,0
P016,Dog,1,3,12,18,Female,Medium,No_Preference,Small,No,No,No,Apartment,SEQ-A-61675,1
P016,Dog,1,3,12,18,Female,Medium,No_Preference,Small,No,No,No,Apartment,SEQ-A-61663,0
P016,Dog,1,3,12,18,Female,Medium,No_Preference,Small,No,No,No,Apartment,SEQ-A-5969,0
P016,Dog,1,3,12,18,Female,Medium,No_Preference,Small,No,No,No,Apartment,SEQ-A-61625,0
P017,Cat,0,1,3,4,Male,Low,No_Preference,Small,No,Yes,No,Apartment,SEQ-A-61718,1
P017,Cat,0,1,3,4,Male,Low,No_Preference,Small,No,Yes,No,Apartment,SEQ-A-61717,1
P017,Cat,0,1,3,4,Male,Low,No_Preference,Small,No,Yes,No,Apartment,SEQ-A-5969,0
P017,Cat,0,1,3,4,Male,Low,No_Preference,Small,No,Yes,No,Apartment,SEQ-A-61625,0
P018,Dog,4,6,75,85,Male,Medium,No_Preference,Large,No,No,No,House_Small_Yard,SEQ-A-61623,1
P018,Dog,4,6,75,85,Male,Medium,No_Preference,Large,No,No,No,House_Small_Yard,SEQ-A-61625,1
P018,Dog,4,6,75,85,Male,Medium,No_Preference,Large,No,No,No,House_Small_Yard,SEQ-A-61717,0
P018,Dog,4,6,75,85,Male,Medium,No_Preference,Large,No,No,No,House_Small_Yard,SEQ-A-61663,0
P019,Cat,1,2,8,10,Male,Low,Shy,Small,Yes,Yes,No,Apartment,SEQ-A-6030,1
P019,Cat,1,2,8,10,Male,Low,Shy,Small,Yes,Yes,No,Apartment,SEQ-A-61714,1
P019,Cat,1,2,8,10,Male,Low,Shy,Small,Yes,Yes,No,Apartment,SEQ-A-5969,0
P019,Cat,1,2,8,10,Male,Low,Shy,Small,Yes,Yes,No,Apartment,SEQ-A-61625,0
P020,Dog,1,3,40,50,Female,High,Active,Medium,No,No,Yes,House_Large_Yard,SEQ-A-61728,1
P020,Dog,1,3,40,50,Female,High,Active,Medium,No,No,Yes,House_Large_Yard,SEQ-A-61696,0
P020,Dog,1,3,40,50,Female,High,Active,Medium,No,No,Yes,House_Large_Yard,SEQ-A-61717,0
P020,Dog,1,3,40,50,Female,High,Active,Medium,No,No,Yes,House_Large_Yard,SEQ-A-61663,0
P021,Cat,1,2,9,11,Male,Low,No_Preference,Small,No,Yes,No,Apartment,SEQ-A-61706,1
P021,Cat,1,2,9,11,Male,Low,No_Preference,Small,No,Yes,No,Apartment,SEQ-A-61707,1
P021,Cat,1,2,9,11,Male,Low,No_Preference,Small,No,Yes,No,Apartment,SEQ-A-5969,0
P021,Cat,1,2,9,11,Male,Low,No_Preference,Small,No,Yes,No,Apartment,SEQ-A-61625,0
P022,Dog,1,3,65,75,Male,Medium,No_Preference,Large,No,Yes,Yes,House_Small_Yard,SEQ-A-5919,1
P022,Dog,1,3,65,75,Male,Medium,No_Preference,Large,No,Yes,Yes,House_Small_Yard,SEQ-A-5969,1
P022,Dog,1,3,65,75,Male,Medium,No_Preference,Large,No,Yes,Yes,House_Small_Yard,SEQ-A-61717,0
P022,Dog,1,3,65,75,Male,Medium,No_Preference,Large,No,Yes,Yes,House_Small_Yard,SEQ-A-61663,0
P023,Cat,6,8,10,12,Female,Low,No_Preference,Small,No,No,No,Apartment,SEQ-A-61631,1
P023,Cat,6,8,10,12,Female,Low,No_Preference,Small,No,No,No,Apartment,SEQ-A-6138,1
P023,Cat,6,8,10,12,Female,Low,No_Preference,Small,No,No,No,Apartment,SEQ-A-61717,0
P023,Cat,6,8,10,12,Female,Low,No_Preference,Small,No,No,No,Apartment,SEQ-A-5969,0
P024,Cat,1,2,9,11,Male,Low,No_Preference,Small,No,Yes,No,Apartment,SEQ-A-61707,1
P024,Cat,1,2,9,11,Male,Low,No_Preference,Small,No,Yes,No,Apartment,SEQ-A-61706,1
P024,Cat,1,2,9,11,Male,Low,No_Preference,Small,No,Yes,No,Apartment,SEQ-A-5969,0
P024,Cat,1,2,9,11,Male,Low,No_Preference,Small,No,Yes,No,Apartment,SEQ-A-61625,0
P025,Cat,1,2,8,10,Male,Low,Shy,Small,No,Yes,No,Apartment,SEQ-A-61714,1
P025,Cat,1,2,8,10,Male,Low,Shy,Small,No,Yes,No,Apartment,SEQ-A-6030,1
P025,Cat,1,2,8,10,Male,Low,Shy,Small,No,Yes,No,Apartment,SEQ-A-5969,0
P025,Cat,1,2,8,10,Male,Low,Shy,Small,No,Yes,No,Apartment,SEQ-A-61625,0
P026,Dog,1,2,60,80,Male,High,Active,Large,No,No,Yes,House_Large_Yard,SEQ-A-5969,1
P026,Dog,1,2,60,80,Male,High,Active,Large,No,No,Yes,House_Large_Yard,SEQ-A-6061,1
P026,Dog,1,2,60,80,Male,High,Active,Large,No,No,Yes,House_Large_Yard,SEQ-A-61717,0
P026,Dog,1,2,60,80,Male,High,Active,Large,No,No,Yes,House_Large_Yard,SEQ-A-61663,0
P027,Cat,1,3,7,10,Female,Medium,Gentle,Small,No,Yes,Yes,House_Small_Yard,SEQ-A-61715,1
P027,Cat,1,3,7,10,Female,Medium,Gentle,Small,No,Yes,Yes,House_Small_Yard,SEQ-A-61711,1
P027,Cat,1,3,7,10,Female,Medium,Gentle,Small,No,Yes,Yes,House_Small_Yard,SEQ-A-5969,0
P027,Cat,1,3,7,10,Female,Medium,Gentle,Small,No,Yes,Yes,House_Small_Yard,SEQ-A-61625,0
P028,Dog,5,7,75,85,Male,Medium,Gentle,Large,No,No,No,House_Small_Yard,SEQ-A-61625,1
P028,Dog,5,7,75,85,Male,Medium,Gentle,Large,No,No,No,House_Small_Yard,SEQ-A-61623,1
P028,Dog,5,7,75,85,Male,Medium,Gentle,Large,No,No,No,House_Small_Yard,SEQ-A-61717,0
P028,Dog,5,7,75,85,Male,Medium,Gentle,Large,No,No,No,House_Small_Yard,SEQ-A-61663,0
P029,Cat,1,2,7,9,Female,Medium,Friendly,Small,No,Yes,Yes,Apartment,SEQ-A-61711,1
P029,Cat,1,2,7,9,Female,Medium,Friendly,Small,No,Yes,Yes,Apartment,SEQ-A-61715,1
P029,Cat,1,2,7,9,Female,Medium,Friendly,Small,No,Yes,Yes,Apartment,SEQ-A-5969,0
P029,Cat,1,2,7,9,Female,Medium,Friendly,Small,No,Yes,Yes,Apartment,SEQ-A-61625,0
P030,Dog,1,2,15,20,Male,Medium,No_Preference,Small,No,Yes,Yes,Apartment,SEQ-A-61663,1
P030,Dog,1,2,15,20,Male,Medium,No_Preference,Small,No,Yes,Yes,Apartment,SEQ-A-61675,0
P030,Dog,1,2,15,20,Male,Medium,No_Preference,Small,No,Yes,Yes,Apartment,SEQ-A-5969,0
P030,Dog,1,2,15,20,Male,Medium,No_Preference,Small,No,Yes,Yes,Apartment,SEQ-A-61625,0
