Animal_ID,Name,Species,Age,Weight,Sex,Breed,Characteristics,Adopter_ID,Adopter_Housing_Type,Adopter_Allergies,Adopter_Activity_Level,Adopter_Size_Pref,Adopter_Energy_Pref,Adopter_Age_Min,Adopter_Age_Max,Adopter_Daily_Hours,Adopter_Animal_Pref,Match_Quality,Match_Type
SEQ-A-61718,Han_Solo,Cat,0,3.1,Male,Domestic_Medium_Hair,None,A023,apartment,no,moderately-active,small,medium,0,2,2-3,Cat,80,correct
SEQ-A-61728,Zoey,Dog,2,43.2,Female,"Terrir, Jack_Russel, Sheepdog","Energetic, Active, Shy",A024,house,no,very-active,medium,high,1,4,5,Dog,86,correct
SEQ-A-5919,Jack,Dog,2,70.4,Male,"Retriever, Labrador",None,A025,house,no,moderately-active,large,medium,1,5,3-4,Dog,89,correct
SEQ-A-61602,Sushi,Cat,4,10.2,Male,Domestic_Shorthair,None,A026,house,no,very-active,large,high,0,2,5,Null,25,incorrect
SEQ-A-5969,Canelo,Dog,2,77.8,Male,"Husky, Siberian","Active, Calm",A027,apartment,yes,quiet,small,low,5,10,less-than-1,Null,20,incorrect
SEQ-A-6029,Latte,Cat,1,10.2,Female,Domestic_Shorthair,"Bonded, Shy",A028,apartment,no,very-active,medium,high,3,8,1-2,Null,15,incorrect
SEQ-A-61625,Blackjack,Dog,6,80.0,Male,"Terrier, Pit_Bull","Gentle, Obedient, Active, Friendly",A029,apartment,yes,quiet,small,low,0,3,less-than-1,Null,10,incorrect
SEQ-A-61627,Callie,Dog,1,63.2,Female,"Terrier, Pit_Bull","Energetic, Active",A030,house,no,very-active,medium_large,high,1,3,5,Null,95,incorrect
SEQ-A-6061,Brownie,Dog,1,72.2,Female,"Rottweiler, Mix","Energetic, Active",A031,condo,no,quiet,small,low,4,8,2-3,Null,30,incorrect
SEQ-A-61696,Maddy,Dog,5,77.4,Female,Akita,Shy,A032,apartment,no,very-active,small,high,0,2,1-2,Null,22,incorrect
SEQ-A-61714,Wyatt,Cat,1,8.7,Male,Domestic_Long_Hair,Shy,A033,house,no,very-active,small,high,0,1,5,Dog,40,incorrect
SEQ-A-61717,Luke,Cat,0,3.1,Male,Domestic_Shorthair,None,A034,apartment,no,quiet,large,low,5,10,less-than-1,Dog,35,incorrect
SEQ-A-61728,Zoey,Dog,2,43.2,Female,"Terrir, Jack_Russel, Sheepdog","Energetic, Active, Shy",A035,apartment,yes,quiet,small,low,6,10,less-than-1,Cat,8,incorrect
